#;Δrank;Team Name                                                              * in the money;Score;Entries;Last Submission UTC (Best − Last Submission)
1;—;â Deep Sea â                                                                   *                                                   sedielem                             Aaron van den Oord                             Lionel Pigou                             golondrina                             Pieter                             jburms                             317070;0.565971;96;Mon, 16 Mar 2015 17:32:03
2;—;Happy Lantern Festival                                                                   *                                                   xudong cao                             gl&hf                             Tianqi Chen                             Winsty                             Bing Xu;0.580300;150;Mon, 16 Mar 2015 14:03:40                                 (-2.8h)
3;—;Poisson Process                                                                   *                                                   Benjamin Graham                             Ryan Munion;0.587967;134;Mon, 16 Mar 2015 23:54:04                                 (-0.9h)
4;↑2;Junonia;0.604112;59;Mon, 16 Mar 2015 20:24:47                                 (-19.5h)
5;—;âDeepsea Challengerâ                                                                                            SR                             James Blondin                             Gal A.;0.606921;142;Mon, 16 Mar 2015 19:47:18                                 (-3.3h)
6;↓2;AuroraXie;0.607333;32;Mon, 16 Mar 2015 22:15:07
7;↑1;Maxim Milakov;0.610072;27;Sat, 14 Mar 2015 18:36:14                                 (-0.8h)
8;↓1;Ilya Kostrikov;0.610964;51;Mon, 16 Mar 2015 20:47:09                                 (-0.6h)
9;—;old-ufo;0.613981;82;Mon, 16 Mar 2015 21:23:27
10;↑2;nagadomi;0.617123;31;Mon, 16 Mar 2015 05:57:34                                 (-0.4h)
11;↑2;zzspar;0.619674;174;Mon, 16 Mar 2015 18:47:59                                 (-0.2h)
12;↓2;Biolab                                                                                            Jure Zbontar                             thocevar;0.619722;74;Mon, 16 Mar 2015 14:50:21                                 (-3.2d)
13;↓2;Alexander Ryzhkov (MSU, Moscow, Russia);0.620708;67;Mon, 16 Mar 2015 23:26:23                                 (-2.9h)
14;↑1;beile;0.623529;28;Mon, 16 Mar 2015 21:01:15                                 (-0.2h)
15;↑2;harkmug;0.625620;28;Mon, 16 Mar 2015 20:42:44                                 (-4.9h)
16;—;", Griffin Liang and 2 others last submitted on 2:37 am, Monday 16 March 2015 UTC"">                         Neptune                                                                                            Liang Pang                                Griffin Liang                             Panyi Ouyang                             tund";0.627582;168;Mon, 16 Mar 2015 02:37:25                                 (-4.9d)
17;↓3;DeepOcean;0.629008;64;Mon, 16 Mar 2015 20:30:26
18;↑9;BAH_kungfu-cats                                                                                            kungvu                             csg                             joon;0.633647;49;Mon, 16 Mar 2015 23:42:59
19;↑7;🐙 axe 🐬 kw 🐙                                                                                            Pavel Campr                             Jan Vanek;0.634813;137;Mon, 16 Mar 2015 18:09:35                                 (-2.6h)
20;↓2;Pikqu;0.637492;61;Mon, 16 Mar 2015 13:27:53                                 (-0.6h)
21;↓2;toshi_k;0.637510;120;Mon, 16 Mar 2015 20:35:07                                 (-0.2h)
22;↓2;Jae Hyun Lim;0.639206;46;Mon, 16 Mar 2015 16:13:49                                 (-0.1h)
23;↓2;Apollo                                                                                            Chris Maki                             scarecrow                             Bartek                             Amine Benhalloum                             TokyoDweller                             onthehill                             Jules;0.641510;242;Mon, 16 Mar 2015 23:54:24                                 (-0.7h)
24;↓1;3 cobblers                                                                                            Owen                             Abhishek                             Matt;0.644150;111;Mon, 16 Mar 2015 17:20:36                                 (-4.6d)
25;↓3;khyh;0.645201;36;Mon, 16 Mar 2015 23:42:42
26;↓1;Niklas Köhler                                                                                            Nick                             Philipp Eulenberg;0.645573;24;Thu, 12 Mar 2015 10:49:48
27;↓3;Matt & Eben                                                                                            Matt Krump                             emolson                             mpooja;0.646626;42;Mon, 16 Mar 2015 23:36:42                                 (-0.1h)
28;—;Jianmin Sun;0.649622;67;Mon, 23 Feb 2015 23:33:30                                 (-2.2d)
29;↑2;Free as air and water                                                                                            Chris Curro                             Harrison Zhao                             David Katz                             Caleb Zulawski;0.649712;75;Mon, 16 Mar 2015 22:07:24                                 (-0.6h)
30;↓1;L Miksys;0.650670;32;Mon, 16 Mar 2015 12:49:14                                 (-0.1h)
31;↑10;Dmitriy Anisimov;0.654808;6;Mon, 16 Mar 2015 19:47:16                                 (-1.9h)
32;↑3;debing zhang;0.655795;15;Sat, 17 Jan 2015 16:52:47
33;↑1;LateFusion                                                                                            Olivier Morère                             Antoine Veillard                             Hanlin;0.656547;12;Mon, 16 Mar 2015 20:37:52                                 (-1.1h)
34;↓4;ikretus;0.657061;45;Wed, 11 Mar 2015 04:46:37                                 (-4.4d)
35;↑2;bigning;0.660353;71;Mon, 16 Mar 2015 05:36:54                                 (-37.9h)
36;↓4;SkyLibrary;0.662100;60;Mon, 16 Mar 2015 20:04:59                                 (-0.2h)
37;↓4;thjashin                                                                                            Jiaxin Shi                             cc;0.662223;11;Mon, 16 Mar 2015 23:57:19                                 (-0.1h)
38;—;planktino;0.662241;5;Mon, 16 Mar 2015 03:58:27
39;↓3;Subway Plankton                                                                                            Marat                             Yoptar;0.662924;45;Mon, 16 Mar 2015 23:44:52                                 (-0.1h)
40;—;Liu;0.665556;62;Mon, 16 Mar 2015 23:18:46
41;↓2;adam rogers;0.667073;149;Mon, 16 Mar 2015 22:44:41
42;↑4;Justin N;0.675780;39;Mon, 16 Mar 2015 23:20:55
43;↓1;Giulio & dkay                                                                                            dkay                             Giulio;0.677713;99;Mon, 16 Mar 2015 23:19:32                                 (-1.5h)
44;—;Giant Squid                                                                                            Selfish Gene                             Uri Merhav                             Gil Levi                             Ben                             Leo;0.677916;176;Mon, 16 Mar 2015 22:08:37                                 (-0.8h)
45;—;:-);0.678478;66;Wed, 11 Mar 2015 09:57:22
46;↓3;Dmitry Ulyanov;0.679511;37;Mon, 09 Mar 2015 08:39:03                                 (-1.6h)
47;—;Ramesh Dommeti;0.681684;29;Sat, 14 Mar 2015 22:56:10
48;—;marianas trench                                                                                            Alec Radford                             Luke Metz                             Madison May;0.683645;42;Sat, 07 Mar 2015 20:59:00
49;—;Deep Shark                                                                                            Fluxus                             matte;0.687029;78;Mon, 16 Mar 2015 22:11:45                                 (-5.5h)
50;—;BestImage                                                                                            Ruixin Zhang                             kc4271                             ffff;0.689614;45;Mon, 16 Mar 2015 03:12:22                                 (-8.5d)
51;↑4;WinWin                                                                                            shiro                             Bean                             joel                             Hsinfu Huang;0.692339;87;Tue, 17 Feb 2015 10:13:52                                 (-27d)
52;—;Francois Chollet;0.697469;96;Mon, 16 Mar 2015 19:26:08                                 (-0.1h)
53;↑3;npetitclerc;0.699254;14;Mon, 16 Mar 2015 23:56:31                                 (-0.4h)
54;↓3;Stefan Stefanov;0.699467;13;Sun, 15 Mar 2015 19:35:58
55;↑3;rmldj;0.700180;50;Mon, 16 Mar 2015 22:37:13                                 (-9.6h)
56;↑3;blaine;0.701704;20;Mon, 16 Mar 2015 23:23:36
57;↑8;Neuroglycerin                                                                                            Gavin Gray                             Alina Selega                             Scott Lowe                             Matt Graham                             Finlay Maguire                             dragos;0.704582;40;Mon, 16 Mar 2015 23:53:17
58;↓5;lametta;0.704775;27;Mon, 16 Mar 2015 22:50:08                                 (-2.5d)
59;↓2;MichelJ;0.704782;212;Mon, 16 Mar 2015 23:07:40
60;↓6;Alexandra Fenster;0.705380;29;Mon, 16 Mar 2015 20:04:44                                 (-7.3d)
61;↑1;vtKMH;0.705742;14;Mon, 16 Mar 2015 20:33:21                                 (-0.5h)
62;↓2;Isaac Kriegman;0.706741;33;Mon, 16 Mar 2015 22:16:44                                 (-4.8h)
63;—;Dmitry Larko;0.707233;17;Mon, 16 Mar 2015 19:36:41                                 (-0.1h)
64;—;JNBr;0.707695;61;Mon, 16 Mar 2015 23:30:59
65;↓4;dreamtreee;0.713836;50;Mon, 16 Mar 2015 22:24:03
66;—;Blim;0.714217;25;Mon, 16 Mar 2015 23:40:13                                 (-9.6h)
67;—;Patrick Chan;0.718674;141;Tue, 10 Feb 2015 02:42:37                                 (-6d)
68;↑3;[RU.nl] Best Whale Wow                                                                                            Steven Reitsma                             Guido Zuidhof                             Inez Wijnands                              Luc Nies                             robbertvdg                             Tom van de Poll;0.719978;43;Mon, 16 Mar 2015 19:00:23                                 (-19.4h)
69;↑8;Alexander Guschin;0.720527;21;Sun, 15 Mar 2015 08:11:33                                 (-1.1h)
70;—;Florent Buisson;0.720987;80;Mon, 16 Mar 2015 12:14:16
71;↑1;chrissly31415;0.722385;50;Sat, 14 Mar 2015 20:56:01
72;↑3;ZERO;0.723187;5;Fri, 13 Mar 2015 12:53:11
73;↓4;Akila                                                                                            Akila Wajirasena                             Chamendri;0.724232;87;Mon, 16 Mar 2015 22:30:27
74;↓6;12341234;0.725161;77;Mon, 16 Mar 2015 09:51:12
75;↑3;kotaro ito;0.725254;12;Sat, 28 Feb 2015 10:58:06                                 (-34.9d)
76;↓2;Philip Wahrlich;0.725418;17;Mon, 16 Mar 2015 22:31:36
77;↑3;woshialex;0.728190;44;Thu, 12 Feb 2015 01:59:21                                 (-4d)
78;↑5;cdjb;0.730720;26;Mon, 16 Mar 2015 23:02:51
79;↑2;Finding Nemo;0.732012;36;Mon, 16 Mar 2015 13:29:30                                 (-4.3h)
80;↓1;Rafael;0.732933;98;Tue, 10 Mar 2015 13:55:24                                 (-8.1d)
81;↓5;Alexandre et Gregory                                                                                            Alexandre KOWALCZYK                             Gregory Godin;0.733551;51;Mon, 16 Mar 2015 22:04:27                                 (-1.9h)
82;—;gavriil                                                                                            gavriil                             Yo 🐧                             Zep;0.735462;33;Mon, 16 Mar 2015 20:54:58                                 (-2.2h)
